book_id,title,author,genre
1,Book 1,Author 2,Science
2,Book 2,Author 3,AI
3,Book 3,Author 4,Technology
4,Book 4,Author 5,Science
5,Book 5,Author 6,Technology
6,Book 6,Author 7,Programming
7,Book 7,Author 8,Fiction
8,Book 8,Author 9,Fiction
9,Book 9,Author 10,History
10,Book 10,Author 11,Science
11,Book 11,Author 12,Programming
12,Book 12,Author 13,History
13,Book 13,Author 14,Programming
14,Book 14,Author 15,Fiction
15,Book 15,Author 16,Fiction
16,Book 16,Author 17,Biography
17,Book 17,Author 18,AI
18,Book 18,Author 19,History
19,Book 19,Author 20,Programming
20,Book 20,Author 1,AI
21,Book 21,Author 2,Programming
22,Book 22,Author 3,Technology
23,Book 23,Author 4,Programming
24,Book 24,Author 5,Programming
25,Book 25,Author 6,Technology
26,Book 26,Author 7,Science
27,Book 27,Author 8,Programming
28,Book 28,Author 9,History
29,Book 29,Author 10,Science
30,Book 30,Author 11,AI
31,Book 31,Author 12,Fiction
32,Book 32,Author 13,Fantasy
33,Book 33,Author 14,AI
34,Book 34,Author 15,Biography
35,Book 35,Author 16,Fiction
36,Book 36,Author 17,History
37,Book 37,Author 18,Programming
38,Book 38,Author 19,Fiction
39,Book 39,Author 20,History
40,Book 40,Author 1,Fantasy
41,Book 41,Author 2,Technology
42,Book 42,Author 3,Programming
43,Book 43,Author 4,Science
44,Book 44,Author 5,Technology
45,Book 45,Author 6,History
46,Book 46,Author 7,Science
47,Book 47,Author 8,Technology
48,Book 48,Author 9,Technology
49,Book 49,Author 10,Biography
50,Book 50,Author 11,Fantasy
51,Book 51,Author 12,Technology
52,Book 52,Author 13,Science
53,Book 53,Author 14,Science
54,Book 54,Author 15,AI
55,Book 55,Author 16,Technology
56,Book 56,Author 17,Biography
57,Book 57,Author 18,Technology
58,Book 58,Author 19,Technology
59,Book 59,Author 20,AI
60,Book 60,Author 1,Science
61,Book 61,Author 2,Science
62,Book 62,Author 3,Technology
63,Book 63,Author 4,Biography
64,Book 64,Author 5,Biography
65,Book 65,Author 6,Programming
66,Book 66,Author 7,Programming
67,Book 67,Author 8,Programming
68,Book 68,Author 9,AI
69,Book 69,Author 10,Fantasy
70,Book 70,Author 11,Technology
71,Book 71,Author 12,Technology
72,Book 72,Author 13,Science
73,Book 73,Author 14,Programming
74,Book 74,Author 15,Technology
75,Book 75,Author 16,Technology
76,Book 76,Author 17,History
77,Book 77,Author 18,Fantasy
78,Book 78,Author 19,History
79,Book 79,Author 20,Science
80,Book 80,Author 1,Biography
81,Book 81,Author 2,Science
82,Book 82,Author 3,Fantasy
83,Book 83,Author 4,AI
84,Book 84,Author 5,Biography
85,Book 85,Author 6,Biography
86,Book 86,Author 7,AI
87,Book 87,Author 8,Science
88,Book 88,Author 9,Science
89,Book 89,Author 10,Science
90,Book 90,Author 11,Science
91,Book 91,Author 12,Biography
92,Book 92,Author 13,Fiction
93,Book 93,Author 14,Technology
94,Book 94,Author 15,Science
95,Book 95,Author 16,Science
96,Book 96,Author 17,Technology
97,Book 97,Author 18,Science
98,Book 98,Author 19,Programming
99,Book 99,Author 20,Science
100,Book 100,Author 1,AI
