user_id,book_id,rating
35,69,3
26,55,2
26,25,3
49,16,4
2,29,5
37,15,1
23,74,2
30,11,4
18,44,1
10,60,3
3,40,1
34,86,5
9,100,4
16,29,4
39,83,1
48,13,3
1,100,1
39,71,2
1,16,3
49,65,4
1,77,4
18,71,4
18,5,3
28,42,4
32,6,2
17,95,1
13,7,5
4,5,4
23,86,2
19,50,1
27,80,4
13,99,4
7,85,2
23,68,2
1,36,3
4,34,3
25,55,5
3,22,5
40,40,1
50,38,5
20,81,2
38,56,4
31,21,5
44,94,5
9,28,5
33,95,2
45,42,1
42,88,3
6,87,1
3,94,1
29,32,1
20,44,1
49,48,3
8,87,3
36,82,4
4,10,5
33,60,1
32,86,3
22,32,2
42,7,1
21,26,1
48,85,4
40,47,4
20,65,2
4,33,2
33,8,5
42,72,1
13,40,3
36,63,5
40,67,3
20,73,1
20,51,1
33,24,3
13,17,3
23,99,3
44,25,4
27,1,2
6,22,1
6,33,3
14,52,4
37,99,1
15,68,1
10,92,3
31,78,2
37,95,3
13,25,2
21,70,2
23,45,1
9,7,5
48,57,1
32,75,5
33,95,5
6,79,2
11,64,3
31,95,5
9,77,3
20,23,2
42,34,4
34,20,3
34,80,1
26,41,5
33,28,4
39,46,2
42,42,5
3,38,3
8,40,5
13,63,4
47,100,5
2,14,2
35,14,3
45,59,1
14,23,4
1,32,4
14,46,5
13,45,5
22,52,5
22,74,5
46,51,2
26,35,3
38,86,2
39,26,5
30,78,1
11,84,4
23,79,5
36,67,3
2,12,3
23,11,1
45,35,4
27,24,1
48,51,5
11,91,2
28,23,2
46,44,2
13,65,5
14,51,3
13,39,2
35,4,2
46,31,1
2,43,5
19,45,4
34,24,5
33,89,4
47,44,3
37,96,2
43,80,3
23,82,5
15,38,1
46,68,3
6,46,4
37,1,3
14,34,4
10,55,1
7,30,3
41,98,2
32,30,1
26,87,4
4,82,1
35,32,2
1,12,3
40,4,5
11,53,2
26,90,2
36,51,2
11,72,5
26,3,2
5,46,1
16,37,1
50,74,3
7,84,1
8,61,1
4,13,5
4,38,2
45,90,1
24,24,5
16,39,4
23,99,2
28,81,2
7,54,1
30,90,1
48,97,2
21,67,1
39,88,3
39,8,3
14,23,4
23,69,3
22,56,1
45,84,5
35,25,3
8,77,3
11,54,3
39,83,2
6,65,4
49,20,4
18,90,2
16,89,3
16,21,4
16,99,3
14,54,1
43,47,3
28,30,1
6,65,2
20,43,4
43,3,1
24,71,3
3,37,3
40,29,3
3,89,1
48,43,5
44,26,2
3,58,3
43,12,5
43,10,3
40,49,5
8,45,5
16,9,5
3,92,5
31,62,5
8,85,5
20,79,2
46,11,3
36,26,2
28,16,3
9,12,1
37,31,2
21,22,2
32,61,3
42,64,2
5,66,5
45,97,1
9,68,2
12,100,3
46,13,3
30,79,4
37,11,1
45,69,3
40,58,4
32,71,2
11,98,2
6,27,1
42,9,4
30,22,1
46,71,4
9,98,3
34,67,3
43,57,4
30,19,5
34,58,4
39,15,4
6,7,2
32,94,3
4,42,5
9,70,4
48,8,3
12,94,3
47,27,5
23,16,4
14,77,2
8,66,4
41,1,3
10,20,3
35,13,1
18,84,4
29,30,4
45,41,3
28,38,1
18,91,2
36,1,1
28,83,4
26,9,3
37,31,5
34,54,5
17,81,3
41,69,1
28,21,1
18,73,2
26,32,3
24,89,5
12,76,1
42,3,5
23,14,5
32,48,3
32,63,1
33,51,3
45,63,2
15,78,4
30,61,1
20,82,4
22,41,3
43,68,5
38,85,5
29,86,4
21,40,5
13,73,5
22,97,3
1,62,2
35,77,5
21,74,2
17,70,4
22,64,4
47,46,2
25,57,1
40,26,5
4,47,5
14,55,3
36,28,1
28,43,3
42,35,3
44,38,4
11,22,2
4,11,1
10,65,4
2,73,1
45,70,3
27,8,2
38,62,1
38,2,2
4,65,3
19,20,3
10,45,1
35,82,1
11,65,1
50,72,4
40,38,4
13,37,2
31,20,2
44,89,4
39,85,2
40,97,1
42,98,2
14,52,3
33,61,2
43,60,3
17,33,2
37,24,4
18,15,3
37,26,2
41,66,2
12,76,4
19,96,2
43,96,5
26,11,2
40,6,2
4,93,2
18,33,3
19,68,1
14,69,5
7,10,3
12,87,4
4,45,5
45,25,5
10,68,3
1,14,2
12,33,2
35,3,5
15,35,5
41,25,4
22,50,3
27,31,1
7,93,3
17,78,4
46,13,5
40,74,2
41,7,1
16,31,1
35,38,2
28,22,1
46,8,2
45,40,3
8,66,1
10,29,4
24,42,3
27,54,1
27,85,1
29,99,5
40,99,1
21,14,2
20,93,3
12,74,3
31,2,4
10,49,2
42,47,3
1,27,3
16,99,5
49,29,2
15,63,2
47,55,4
16,88,2
32,40,5
37,78,5
9,70,3
7,82,1
16,48,5
18,14,5
27,42,5
40,11,5
13,8,5
40,23,3
37,85,4
30,15,4
3,45,5
21,84,4
26,9,1
16,29,5
17,90,5
18,70,1
50,68,3
36,12,1
14,92,4
19,74,2
47,76,1
17,74,3
35,80,3
12,52,3
46,66,1
38,97,1
16,43,5
12,57,5
38,7,4
14,32,2
47,94,4
23,7,3
44,95,2
49,51,2
7,72,4
19,97,4
3,90,5
26,49,1
50,1,2
39,71,3
35,62,5
39,11,3
28,79,5
16,69,5
31,23,5
6,79,2
50,83,4
